Memory created, intialized to 0

Text code 0x00000000 (dec index): 0,-> Value : 
30f400080000204530f30001000030f00000000030f101000000e0230000000065207334000000d03f000000006013701a00000010

Byte address 0x000002db (dec index): 731, Value : 101 , 65
Byte address 0x000002e0 (dec index): 736, Value : 101 , 65
Byte address 0x000002e7 (dec index): 743, Value : 101 , 65
Byte address 0x000002f9 (dec index): 761, Value : 101 , 65
Byte address 0x0000030b (dec index): 779, Value : 101 , 65
Byte address 0x00000313 (dec index): 787, Value : 101 , 65
Byte address 0x0000031e (dec index): 798, Value : 101 , 65
Byte address 0x00000326 (dec index): 806, Value : 101 , 65
Byte address 0x00000329 (dec index): 809, Value : 101 , 65
Byte address 0x0000033e (dec index): 830, Value : 101 , 65
Byte address 0x00000129 (dec index): 297, Value : 102 , 66
Byte address 0x00000164 (dec index): 356, Value : 102 , 66
Byte address 0x000001f9 (dec index): 505, Value : 102 , 66
Byte address 0x00000241 (dec index): 577, Value : 102 , 66
Byte address 0x00000296 (dec index): 662, Value : 102 , 66
Byte address 0x0000010a (dec index): 266, Value : 103 , 67
Byte address 0x0000011f (dec index): 287, Value : 103 , 67
Byte address 0x000001f4 (dec index): 500, Value : 103 , 67
Byte address 0x00000202 (dec index): 514, Value : 103 , 67
Byte address 0x00000212 (dec index): 530, Value : 103 , 67
Byte address 0x00000215 (dec index): 533, Value : 103 , 67
Byte address 0x00000248 (dec index): 584, Value : 103 , 67
Byte address 0x0000025f (dec index): 607, Value : 103 , 67
Byte address 0x00000277 (dec index): 631, Value : 103 , 67
Byte address 0x000002cc (dec index): 716, Value : 103 , 67
Byte address 0x000002e9 (dec index): 745, Value : 103 , 67
Byte address 0x000002ec (dec index): 748, Value : 103 , 67
Byte address 0x00000322 (dec index): 802, Value : 103 , 67
Byte address 0x00000349 (dec index): 841, Value : 103 , 67
Byte address 0x00000125 (dec index): 293, Value : 104 , 68
Byte address 0x00000135 (dec index): 309, Value : 104 , 68
Byte address 0x00000169 (dec index): 361, Value : 104 , 68
Byte address 0x00000182 (dec index): 386, Value : 104 , 68
Byte address 0x00000197 (dec index): 407, Value : 104 , 68
Byte address 0x000001b0 (dec index): 432, Value : 104 , 68
Byte address 0x000001d5 (dec index): 469, Value : 104 , 68
Byte address 0x00000204 (dec index): 516, Value : 104 , 68
Byte address 0x00000209 (dec index): 521, Value : 104 , 68
Byte address 0x0000020f (dec index): 527, Value : 104 , 68
Byte address 0x00000218 (dec index): 536, Value : 104 , 68
Byte address 0x0000021e (dec index): 542, Value : 104 , 68
Byte address 0x00000237 (dec index): 567, Value : 104 , 68
Byte address 0x0000025c (dec index): 604, Value : 104 , 68
Byte address 0x00000263 (dec index): 611, Value : 104 , 68
Byte address 0x0000026e (dec index): 622, Value : 104 , 68
Byte address 0x0000027b (dec index): 635, Value : 104 , 68
Byte address 0x00000281 (dec index): 641, Value : 104 , 68
Byte address 0x0000029a (dec index): 666, Value : 104 , 68
Byte address 0x000002a8 (dec index): 680, Value : 104 , 68
Byte address 0x000002bf (dec index): 703, Value : 104 , 68
Byte address 0x000002e3 (dec index): 739, Value : 104 , 68
Byte address 0x000002f2 (dec index): 754, Value : 104 , 68
Byte address 0x00000312 (dec index): 786, Value : 104 , 68
Byte address 0x00000325 (dec index): 805, Value : 104 , 68
Byte address 0x00000112 (dec index): 274, Value : 105 , 69
Byte address 0x0000011d (dec index): 285, Value : 105 , 69
Byte address 0x00000121 (dec index): 289, Value : 105 , 69
Byte address 0x00000126 (dec index): 294, Value : 105 , 69
Byte address 0x00000136 (dec index): 310, Value : 105 , 69
Byte address 0x0000015e (dec index): 350, Value : 105 , 69
Byte address 0x00000183 (dec index): 387, Value : 105 , 69
Byte address 0x00000198 (dec index): 408, Value : 105 , 69
Byte address 0x000001ab (dec index): 427, Value : 105 , 69
Byte address 0x000001c7 (dec index): 455, Value : 105 , 69
Byte address 0x000001cf (dec index): 463, Value : 105 , 69
Byte address 0x00000207 (dec index): 519, Value : 105 , 69
Byte address 0x00000213 (dec index): 531, Value : 105 , 69
Byte address 0x0000021f (dec index): 543, Value : 105 , 69
Byte address 0x00000223 (dec index): 547, Value : 105 , 69
Byte address 0x0000022b (dec index): 555, Value : 105 , 69
Byte address 0x00000231 (dec index): 561, Value : 105 , 69
Byte address 0x00000258 (dec index): 600, Value : 105 , 69
Byte address 0x0000026f (dec index): 623, Value : 105 , 69
Byte address 0x000002af (dec index): 687, Value : 105 , 69
Byte address 0x000002b7 (dec index): 695, Value : 105 , 69
Byte address 0x000002d1 (dec index): 721, Value : 105 , 69
Byte address 0x000002d7 (dec index): 727, Value : 105 , 69
Byte address 0x000002ea (dec index): 746, Value : 105 , 69
Byte address 0x000002fb (dec index): 763, Value : 105 , 69
Byte address 0x00000303 (dec index): 771, Value : 105 , 69
Byte address 0x00000310 (dec index): 784, Value : 105 , 69
Byte address 0x00000320 (dec index): 800, Value : 105 , 69
Byte address 0x00000336 (dec index): 822, Value : 105 , 69
Byte address 0x00000340 (dec index): 832, Value : 105 , 69
Byte address 0x0000011c (dec index): 284, Value : 107 , 6b
Byte address 0x00000232 (dec index): 562, Value : 107 , 6b
Byte address 0x0000010f (dec index): 271, Value : 108 , 6c
Byte address 0x0000014a (dec index): 330, Value : 108 , 6c
Byte address 0x00000160 (dec index): 352, Value : 108 , 6c
Byte address 0x00000161 (dec index): 353, Value : 108 , 6c
Byte address 0x0000016e (dec index): 366, Value : 108 , 6c
Byte address 0x0000016f (dec index): 367, Value : 108 , 6c
Byte address 0x000001a3 (dec index): 419, Value : 108 , 6c
Byte address 0x000001ba (dec index): 442, Value : 108 , 6c
Byte address 0x000001c5 (dec index): 453, Value : 108 , 6c
Byte address 0x000001da (dec index): 474, Value : 108 , 6c
Byte address 0x000001db (dec index): 475, Value : 108 , 6c
Byte address 0x000001ff (dec index): 511, Value : 108 , 6c
Byte address 0x00000230 (dec index): 560, Value : 108 , 6c
Byte address 0x00000292 (dec index): 658, Value : 108 , 6c
Byte address 0x00000293 (dec index): 659, Value : 108 , 6c
Byte address 0x000002d6 (dec index): 726, Value : 108 , 6c
Byte address 0x000002da (dec index): 730, Value : 108 , 6c
Byte address 0x000002e5 (dec index): 741, Value : 108 , 6c
Byte address 0x000002e6 (dec index): 742, Value : 108 , 6c
Byte address 0x0000031d (dec index): 797, Value : 108 , 6c
Byte address 0x00000337 (dec index): 823, Value : 108 , 6c
Byte address 0x00000338 (dec index): 824, Value : 108 , 6c
Byte address 0x00000106 (dec index): 262, Value : 109 , 6d
Byte address 0x0000011a (dec index): 282, Value : 109 , 6d
Byte address 0x0000012f (dec index): 303, Value : 109 , 6d
Byte address 0x00000178 (dec index): 376, Value : 109 , 6d
Byte address 0x000001b8 (dec index): 440, Value : 109 , 6d
Byte address 0x000001c0 (dec index): 448, Value : 109 , 6d
Byte address 0x000001df (dec index): 479, Value : 109 , 6d
Byte address 0x000001ef (dec index): 495, Value : 109 , 6d
Byte address 0x0000021b (dec index): 539, Value : 109 , 6d
Byte address 0x00000272 (dec index): 626, Value : 109 , 6d
Byte address 0x000002cf (dec index): 719, Value : 109 , 6d
Byte address 0x000002dd (dec index): 733, Value : 109 , 6d
Byte address 0x000002f6 (dec index): 758, Value : 109 , 6d
Byte address 0x0000031b (dec index): 795, Value : 109 , 6d
Byte address 0x0000033a (dec index): 826, Value : 109 , 6d
Byte address 0x0000034c (dec index): 844, Value : 109 , 6d
Byte address 0x00000109 (dec index): 265, Value : 110 , 6e
Byte address 0x00000114 (dec index): 276, Value : 110 , 6e
Byte address 0x00000118 (dec index): 280, Value : 110 , 6e
Byte address 0x0000011e (dec index): 286, Value : 110 , 6e
Byte address 0x000001a8 (dec index): 424, Value : 110 , 6e
Byte address 0x000001ac (dec index): 428, Value : 110 , 6e
Byte address 0x000001b3 (dec index): 435, Value : 110 , 6e
Byte address 0x000001bd (dec index): 445, Value : 110 , 6e
Byte address 0x000001c8 (dec index): 456, Value : 110 , 6e
Byte address 0x000001d1 (dec index): 465, Value : 110 , 6e
Byte address 0x000001e7 (dec index): 487, Value : 110 , 6e
Byte address 0x000001fc (dec index): 508, Value : 110 , 6e
Byte address 0x00000201 (dec index): 513, Value : 110 , 6e
Byte address 0x00000211 (dec index): 529, Value : 110 , 6e
Byte address 0x00000214 (dec index): 532, Value : 110 , 6e
Byte address 0x00000220 (dec index): 544, Value : 110 , 6e
Byte address 0x00000224 (dec index): 548, Value : 110 , 6e
Byte address 0x0000022d (dec index): 557, Value : 110 , 6e
Byte address 0x0000025e (dec index): 606, Value : 110 , 6e
Byte address 0x00000268 (dec index): 616, Value : 110 , 6e
Byte address 0x0000028b (dec index): 651, Value : 110 , 6e
Byte address 0x0000029d (dec index): 669, Value : 110 , 6e
Byte address 0x000002b0 (dec index): 688, Value : 110 , 6e
Byte address 0x000002b9 (dec index): 697, Value : 110 , 6e
Byte address 0x000002c6 (dec index): 710, Value : 110 , 6e
Byte address 0x000002e8 (dec index): 744, Value : 110 , 6e
Byte address 0x000002eb (dec index): 747, Value : 110 , 6e
Byte address 0x000002ef (dec index): 751, Value : 110 , 6e
Byte address 0x000002fc (dec index): 764, Value : 110 , 6e
Byte address 0x00000305 (dec index): 773, Value : 110 , 6e
Byte address 0x00000317 (dec index): 791, Value : 110 , 6e
Byte address 0x00000321 (dec index): 801, Value : 110 , 6e
Byte address 0x0000032c (dec index): 812, Value : 110 , 6e
Byte address 0x00000331 (dec index): 817, Value : 110 , 6e
Byte address 0x00000108 (dec index): 264, Value : 111 , 6f
Byte address 0x00000113 (dec index): 275, Value : 111 , 6f
Byte address 0x00000117 (dec index): 279, Value : 111 , 6f
Byte address 0x00000165 (dec index): 357, Value : 111 , 6f
Byte address 0x00000177 (dec index): 375, Value : 111 , 6f
Byte address 0x0000018e (dec index): 398, Value : 111 , 6f
Byte address 0x000001a7 (dec index): 423, Value : 111 , 6f
Byte address 0x000001c1 (dec index): 449, Value : 111 , 6f
Byte address 0x000001d0 (dec index): 464, Value : 111 , 6f
Byte address 0x000001dc (dec index): 476, Value : 111 , 6f
Byte address 0x000001e3 (dec index): 483, Value : 111 , 6f
Byte address 0x000001e6 (dec index): 486, Value : 111 , 6f
Byte address 0x000001f8 (dec index): 504, Value : 111 , 6f
Byte address 0x0000020a (dec index): 522, Value : 111 , 6f
Byte address 0x0000022c (dec index): 556, Value : 111 , 6f
Byte address 0x0000023c (dec index): 572, Value : 111 , 6f
Byte address 0x0000023f (dec index): 575, Value : 111 , 6f
Byte address 0x00000242 (dec index): 578, Value : 111 , 6f
Byte address 0x00000247 (dec index): 583, Value : 111 , 6f
Byte address 0x00000267 (dec index): 615, Value : 111 , 6f
Byte address 0x0000027c (dec index): 636, Value : 111 , 6f
Byte address 0x00000286 (dec index): 646, Value : 111 , 6f
Byte address 0x000002a3 (dec index): 675, Value : 111 , 6f
Byte address 0x000002b8 (dec index): 696, Value : 111 , 6f
Byte address 0x000002c5 (dec index): 709, Value : 111 , 6f
Byte address 0x000002cb (dec index): 715, Value : 111 , 6f
Byte address 0x000002de (dec index): 734, Value : 111 , 6f
Byte address 0x000002f7 (dec index): 759, Value : 111 , 6f
Byte address 0x00000304 (dec index): 772, Value : 111 , 6f
Byte address 0x00000316 (dec index): 790, Value : 111 , 6f
Byte address 0x0000031a (dec index): 794, Value : 111 , 6f
Byte address 0x0000032b (dec index): 811, Value : 111 , 6f
Byte address 0x00000341 (dec index): 833, Value : 111 , 6f
Byte address 0x00000348 (dec index): 840, Value : 111 , 6f
Byte address 0x0000015b (dec index): 347, Value : 112 , 70
Byte address 0x00000179 (dec index): 377, Value : 112 , 70
Byte address 0x000001b9 (dec index): 441, Value : 112 , 70
Byte address 0x00000245 (dec index): 581, Value : 112 , 70
Byte address 0x000002c9 (dec index): 713, Value : 112 , 70
Byte address 0x0000031c (dec index): 796, Value : 112 , 70
Byte address 0x00000346 (dec index): 838, Value : 112 , 70
Byte address 0x0000010b (dec index): 267, Value : 114 , 72
Byte address 0x0000012b (dec index): 299, Value : 114 , 72
Byte address 0x00000152 (dec index): 338, Value : 114 , 72
Byte address 0x00000166 (dec index): 358, Value : 114 , 72
Byte address 0x0000017d (dec index): 381, Value : 114 , 72
Byte address 0x00000180 (dec index): 384, Value : 114 , 72
Byte address 0x00000189 (dec index): 393, Value : 114 , 72
Byte address 0x00000190 (dec index): 400, Value : 114 , 72
Byte address 0x000001cb (dec index): 459, Value : 114 , 72
Byte address 0x000001ea (dec index): 490, Value : 114 , 72
Byte address 0x00000227 (dec index): 551, Value : 114 , 72
Byte address 0x00000243 (dec index): 579, Value : 114 , 72
Byte address 0x00000246 (dec index): 582, Value : 114 , 72
